categoryName,city,reviewsCount,stars,state,text,title,url
Gimnasio,Burgos,7,5.0,Burgos,Entrenamiento top! Me encanta y lo recomiendo a todos!,ARETI Entrenamiento funcional,https://www.google.com/maps/search/?api=1&query=ARETI%20Entrenamiento%20funcional&query_place_id=ChIJleCbcwDjRQ0RzX1Jdp6PEGU
,Burgos,0,,Burgos,,Maquinaria de Hostelería 2000,https://www.google.com/maps/search/?api=1&query=Maquinaria%20de%20Hosteler%C3%ADa%202000&query_place_id=ChIJc5PmmdPiRQ0RJsXGijbTmWc
Servicio postal,Burgos,0,,Burgos,,Buzón de Correos,https://www.google.com/maps/search/?api=1&query=Buz%C3%B3n%20de%20Correos&query_place_id=ChIJdX3fQwD9RQ0RTLadBvAq8Lw
Floristería,Burgos,43,5.0,Burgos,"Le contratamos para la decoracion de la boda de la iglesia y restaurante, fue todo un acierto, super amable, muy atento y ni un pero a las flores, quedo todo precioso, tiene muy buen gusto para la decoracion y esta a todos los detalles.",La Villa Verde,https://www.google.com/maps/search/?api=1&query=La%20Villa%20Verde&query_place_id=ChIJrwUDUiX9RQ0RdlawHr2G6YI
Cafetería,Burgos,150,5.0,Burgos,"La tortilla muy buena. Los camareros, muy majos!",Café Video Fox,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Video%20Fox&query_place_id=ChIJc5PmmdPiRQ0RQ676rD7gsyk
Floristería,Burgos,2,5.0,Burgos,"Hice una compra de un vestido camisero color marfil hace poquito para estas fiestas que vienen y me llegó exactamente lo que vi en la web. Si me llevé alguna sorpresa fue para mejor. Creo que las prendas son de súper buena calidad además de diferentes y que sientan súper bien por los cortes que tienen. Además de eso, el envío es súper rápido y se nota que está empaquetado con todo el mimo posible. Pagas por algo que realmente merece la pena. Gracias por hacer las cosas así!",Entre Pétalos,https://www.google.com/maps/search/?api=1&query=Entre%20P%C3%A9talos&query_place_id=ChIJhZzhqb_9RQ0RVR84VRk5rO0
Tienda de kebabs,Burgos,138,2.0,Burgos,"El kebab no esta mal, pero el estado del baño es parecido a una trinchera de la guerra mundial, a parte de eso el olor se te queda pegado 5 días mínimo",Doner Kebab Mármara 1,https://www.google.com/maps/search/?api=1&query=Doner%20Kebab%20M%C3%A1rmara%201&query_place_id=ChIJe9NuVCX9RQ0RC_BjsyY2ONA
Contratista,Burgos,0,,Burgos,,Encofradores Figueiredo S.L.,https://www.google.com/maps/search/?api=1&query=Encofradores%20Figueiredo%20S.L.&query_place_id=ChIJAets-C_9RQ0RQc6Imhx7NI0
Diseñador de sitios web,Burgos,4,5.0,Burgos,"Excelente trabajo, mi tienda online funciona a la perfeccion!!!",Marketing Bur,https://www.google.com/maps/search/?api=1&query=Marketing%20Bur&query_place_id=ChIJtYgrChf9RQ0RS_NX6cNRcqI
Barbería,Burgos,9,5.0,Burgos,"La mejor peluquería para hombres de Burgos.
Calidad/precio un 10, y el trato del peluquero excelente y muy profesional.
Muy recomendable Barbería Dianoia.",Barbería Dianoia,https://www.google.com/maps/search/?api=1&query=Barber%C3%ADa%20Dianoia&query_place_id=ChIJ8ThjO-39RQ0R-2mNxWNkGAI
Tienda de alimentación,Burgos,4,5.0,Burgos,Una panadería en la que te puedes encontrar de todo a un precio lógico.,Panadería Santi,https://www.google.com/maps/search/?api=1&query=Panader%C3%ADa%20Santi&query_place_id=ChIJ1eALuK79RQ0REtqBP9bZ1_8
"Tienda de comestibles, periódicos y medicamentos",Burgos,0,,Burgos,,Fernando Porres Plaza,https://www.google.com/maps/search/?api=1&query=Fernando%20Porres%20Plaza&query_place_id=ChIJEz7fVyX9RQ0RJhOrDewvbNw
Tienda de informática,Burgos,0,,Burgos,,"OFIBUR | Fotocopiadoras, impresoras e informática.",https://www.google.com/maps/search/?api=1&query=OFIBUR%20%7C%20Fotocopiadoras%2C%20impresoras%20e%20inform%C3%A1tica.&query_place_id=ChIJbRIg9C_9RQ0RZi78o_HuDWE
Electricista,Burgos,0,,Burgos,,IBERLEC,https://www.google.com/maps/search/?api=1&query=IBERLEC&query_place_id=ChIJOXEDADD9RQ0RxbKUvGDvbtU
,Burgos,0,,Burgos,,Gumersilda,https://www.google.com/maps/search/?api=1&query=Gumersilda&query_place_id=ChIJ7QMc8S_9RQ0R4ifMxk2rJ8I
Pescadería,Burgos,4,5.0,Burgos,,Alonso Pescadería,https://www.google.com/maps/search/?api=1&query=Alonso%20Pescader%C3%ADa&query_place_id=ChIJE2_vBjD9RQ0REyZzJe-_KsE
Monasterio,Herrera,28,4.0,Burgos,Paz,Yermo Camaldulense de Ntra. Sra. de Herrera,https://www.google.com/maps/search/?api=1&query=Yermo%20Camaldulense%20de%20Ntra.%20Sra.%20de%20Herrera&query_place_id=ChIJU4vJLfaOTw0RpDP4O4FigtU
Peluquería,Burgos,46,4.0,Burgos,Muy profesionales,Innova. Estética y Peluquería,https://www.google.com/maps/search/?api=1&query=Innova.%20Est%C3%A9tica%20y%20Peluquer%C3%ADa&query_place_id=ChIJvzwR-i_9RQ0RA63vPszdRI0
