Place ID,Latitude,Longitude
ChIJsf71-0gdTw0R7CtQhM5i4M0,43.1114096,-3.2663166
ChIJ9YNh48MdTw0RzLjqQ11MMKY,43.1114096,-3.2663166
ChIJQ9nHU-QdTw0R9niMX-PbEzU,43.1114096,-3.2663166
ChIJVVVVVRYdTw0RL5Iq4QMrj74,43.1114096,-3.2663166
ChIJcb09wU4dTw0RNI96FNZYIFQ,43.1114096,-3.2663166
ChIJAQCwAEsdTw0R2rq3349UF_o,43.1114096,-3.2663166
ChIJgZe4u6QdTw0RUScc8ZNiRww,43.1114096,-3.2663166
ChIJjbL3JTgdTw0RGTGEQyQMmWc,43.1114096,-3.2663166
ChIJnWeOzeYdTw0RQOAkOB6j08E,43.1114096,-3.2663166
ChIJXQe02B8dTw0R2-URNPTJ_5U,43.1114096,-3.2663166
ChIJ_brCi04dTw0ROjOOhWhqpnU,43.1114096,-3.2663166
ChIJYytx3mACTw0Rr0xUVmjHQ0M,43.1114096,-3.2663166
ChIJVVVVVRYdTw0RVB3LL2y1rbs,43.1114096,-3.2663166
ChIJ0Tv_EncdTw0Rgkw65B82O5M,43.1114096,-3.2663166
ChIJm-AbzzkdTw0R9MBCHS2JR8E,43.1114096,-3.2663166
ChIJhWBjIzQdTw0RDzBMV5L7yms,43.1114096,-3.2663166
ChIJGxVlWCpaTg0RkpTYN1MS_uc,43.1114096,-3.2663166
ChIJLX-zOTkdTw0RrwMd_F46itE,43.1114096,-3.2663166
ChIJAQCwQzkdTw0RJ1YO9dAveug,43.1114096,-3.2663166
ChIJJxYtcij9RQ0RrdIzVO1tC4c,42.3435589,-3.7044871
ChIJZ9Ks5Nf8RQ0RYPG9YXd0emc,42.3436238,-3.7026298
ChIJXWwXcCj9RQ0RaX2cnkjDTIQ,42.3435061,-3.7045082
ChIJAQOou239RQ0RejZbr5HwPQo,42.3435589,-3.7044871
ChIJg7gW_Nf8RQ0RVIA5B9zXnPo,42.3436238,-3.7026298
ChIJAQOou239RQ0RejZbr5HwPQo,42.3435061,-3.7045082
ChIJy1ohdyj9RQ0REdiJjNdSdaM,42.3435589,-3.7044871
ChIJ1bGtx8f9RQ0RJARwFBvHIq4,42.3436238,-3.7026298
ChIJAQAQZSj9RQ0RPa4hsWqH7fY,42.3435061,-3.7045082
ChIJAQAQZSj9RQ0RPa4hsWqH7fY,42.3435589,-3.7044871
ChIJh8JuPA79RQ0RgVzu5-aqM6c,42.3436238,-3.7026298
ChIJKU6IWQD9RQ0RQyGI0ag7fdo,42.3435061,-3.7045082
ChIJKU6IWQD9RQ0RQyGI0ag7fdo,42.3435589,-3.7044871
ChIJ1S14AGv9RQ0R0EKUoJSRhgY,42.3436238,-3.7026298
ChIJ6Vxbyk79RQ0RQkybQfpCdcE,42.3435061,-3.7045082
ChIJ0XPd2Sf9RQ0RQj6jTQm6WK8,42.3435589,-3.7044871
ChIJP0iAG5_9RQ0R8rqjZdLvB6o,42.3436238,-3.7026298
ChIJ-cvq4Sf9RQ0RmyBDLOPm9uw,42.3435061,-3.7045082
ChIJ-cvq4Sf9RQ0RmyBDLOPm9uw,42.3435589,-3.7044871
ChIJ2_m5XGb9RQ0R_jCPvAZ_8Vk,42.3436238,-3.7026298
ChIJj63WPyj9RQ0R7m58hTOw1r0,42.3435061,-3.7045082
ChIJLf9T1yf9RQ0R0hjSriSY6Mo,42.3435589,-3.7044871
ChIJOeFX49f8RQ0RTtpbFKp7oUo,42.3436238,-3.7026298
ChIJWQ7KYHz9RQ0Rc7BIcuuBF5g,42.3435061,-3.7045082
ChIJWQ7KYHz9RQ0Rc7BIcuuBF5g,42.3435589,-3.7044871
ChIJ3TlniZb9RQ0RDhcOtbV2WD8,42.3436238,-3.7026298
ChIJO1JlKG79RQ0RuLtdzBzv7YU,42.3435061,-3.7045082
ChIJO1JlKG79RQ0RuLtdzBzv7YU,42.3435589,-3.7044871
ChIJ925bYbD9RQ0R6RwYVA_DkJI,42.3436238,-3.7026298
